No,Name,Symbol,Opening price,Last traded price,Closing price,Percentage change
1,Afdis Distillers Limited,AFDS.ZW,700,0,700,0%
2,Amalgamated Regional Trading (Art) Holdings Limited,ARTD.ZW,20.15,20.15,20.15,0%
3,Ariston Holdings Limited,ARIS.ZW,6,6,6,0%
4,BRIDGEFORT CAPITAL CLASS A,BFCA.ZW,1.5,0,1.5,0%
5,BRIDGEFORT CAPITAL CLASS B,BFCB.ZW,2.64,0,2.64,0%
6,British American Tobacco Zimbabwe Limited,BAT.ZW,"10,500.0000",0,"10,500.0000",0%
7,Cafca Limited,CAFCA.ZW,"2,048.1148","2,040.0000","2,040.0000",0%
8,Cass Saddle Agriculture Exchange Traded Fund,CSAG.ZW,5,0,5,0%
9,Cbz Holdings Limited,CBZ.ZW,850.2729,750,756.0606,-11%
10,Cfi Holdings Limited,CFI.ZW,418,0,418,0%
11,Dairibord Holdings Limited,DZL.ZW,224,0,224,0%
12,Datvest Modified Consumer Staples Exchange Traded Fund,DMCS.ZW,3,0,3,0%
13,Delta Corporation Limited,DLTA.ZW,"1,398.5615","1,395.0000","1,396.2129",0%
14,Ecocash Holdings Zimbabwe Limited,EHZL.ZW,29.9571,29.85,29.85,0%
15,Econet Wireless Zimbabwe Limited,ECO.ZW,297.1701,295,296.8503,0%
16,Fbc Holdings Limited,FBC.ZW,949,949,949,0%
17,Fidelity Life Assurance Limited,FIDL.ZW,40,40.05,40.05,0%
18,First Mutual Holdings Limited,FML.ZW,443.85,0,443.85,0%
19,First Mutual Properties Limited,FMP.ZW,122.95,0,122.95,0%
20,General Beltings Holdings Limited,GBH.ZW,7.8,7,7,-10%
21,Hippo Valley Estates Limited,HIPO.ZW,600,660,660,10%
22,Lafarge Cement Zimbabwe Limited,LACZ.ZW,5.7529,0,5.7529,0%
23,Mashonaland Holdings Limited,MASH.ZW,180,0,180,0%
24,Masimba Holdings Limited,MSHL.ZW,300,0,300,0%
25,Meikles Limited,MEIK.ZW,350.2,0,350.2,0%
26,Morgan & Co Made in Zimbabwe Exchange Traded Fund,MIZ.ZW,5,0,5,0%
27,MORGAN & CO MULTI SECTOR EXCHANGE TRADED FUND TRUST,MCMS.ZW,199,199,198.8437,0%
28,Nampak Zimbabwe Limited,NPKZ.ZW,100,0,100,0%
29,National Tyre Services Limited,NTS.ZW,66.526,0,66.526,0%
30,Nmbz Holdings Limited,NMB.ZW,370.25,370.25,370.25,0%
31,Ok Zimbabwe Limited,OKZ.ZW,31.05,31.05,31.0378,0%
32,Old Mutual Zse Top 10 Etf,OMTT.ZW,19,0,19,0%
33,Proplastics Limited,PROL.ZW,85,0,85,0%
34,Rainbow Tourism Group Limited,RTG.ZW,60.025,0,60.025,0%
35,REVITUS PROPERTY OPPORTUNITIES,REV.ZW,90,22.41,90,0%
36,Riozim Limited,RIOZ.ZW,126.8125,0,126.8125,0%
37,Seed Co Limited,SEED.ZW,210,0,210,0%
38,Starafricacorporation Limited,SACL.ZW,2.3975,2.35,2.3495,-2%
39,TANGANDA TEA COMPANY LIMITED,TANG.ZW,182.95,0,182.95,0%
40,Tigere Real Estate Investment Trust,TIG.ZW,119.0046,0,119.3919,0%
41,Truworths Limited,TRUW.ZW,3.6018,0,3.6018,0%
42,TRUWORTHS LIMITED LAs,TRUWLA.ZW,0.1601,0.1601,0.1601,0%
43,Tsl Limited,TSL.ZW,199.995,0,199.995,0%
44,Turnall Holdings Limited,TURN.ZW,6,5.5,5.5,-8%
45,Unifreight Africa Limited,UNIF.ZW,248.25,0,248.25,0%
46,Willdale Limited,WILD.ZW,6,6,6,0%
47,Zb Financial Holdings Limited,ZBFH.ZW,480,480,480,0%
48,Zeco Holdings Limited,ZECO.ZW,0.0018,0,0.0018,0%
49,Zimbabwe Newspapers (1980) Limited,ZIMP.ZW,15,0,15,0%
50,Zimre Holdings Limited,ZIMR.ZW,18,19.5,19.5,8%
